Column1,Column2
TXT0023,"capres cawapres ganjar pranowo dan mahfud md, mari bersama-sama kita buka jalan bagi nelayan yang terjebak kredit macet. sebagai hasilnya, mereka dapat melangkah menuju kebebasan finansial. #nelayanbukajalan #ganjarpranowopilihanumat #ganjarmahfudrebound #jnk"
TXT0024,'@rm55bn/jtoybntghljubsxbb+ykfriwqvndlunz3qjo= @nhmw096c2gxbv8+mwzndoy6gpwxedlhaiexkudeno8s= @jupbopapslw9++zmirzll4qb36iubvn8gcncwqqeplw= apalagi kita sebgai negara kepulauan. bagian pasifik utara kita harus punya 3 selatan 2. bagian barat 3 dan timur 2.  ngra di dua samudra . colek pak @gmg3cxk1x4nz4v4fcbxdzevfp35zjll838i3xfjxos8=
TXT0025,"kehadiran sosokãƒâ€šã‚â capresãƒâ€šã‚â nomor urut tiga pada pemilu 2024, ganjar pranowo di tpi desa karanganyar kabupaten rembang,  membuat nelayan setempat bersuka cita.mereka senang ketika mengetahuiãƒâ€šã‚â ganjar pranowoãƒâ€šã‚â membawa program unggulan berupa penghapusan kredit macet atau utang bagi para nelayan.ganjar menyebutãƒâ€šã‚â utangãƒâ€šã‚â yang dimiliki nelayan tidak besar dan bisa untuk dibantu dilunaskan pemerintah.pihaknya sudah menghitung jumlah kredit macet di sektor perikanan indonesia. ganjar mengatakan jumlah kredit macet tidaklah banyak, sekitar rp 190 miliar.ganjar-mahfud#ganjarmahfud2024#sahabatganjar"
TXT0026,rt abah online meroket... figur pak anies semakin populer di kalangan anak -anak milenial dan anak-anak gen-z... gagasan dan gaya komunikasi pak anies tentu berhasil memikat anak -anak muda terutama anak -anak gen-z dan ini memberi warna baru dalam kancah berpoltikan https://t.co/mzod9rnemf [re yurissa_samosir]
TXT0027,habis debat soal pesawat bekas prabowo teken kontrak ... - msn https://t.co/1kjrzdz84q #indonesiakuatindonesiamaju #diplomasiprogresif02 #02melanjutkan
TXT0028,ganjar pranowo dan mahfud md pembela kesejahteraan rakyat ganjar mahfud hebat #coblos3 #3gm memimpin indonesia #ganjarmahfudm3nangdebat https://t.co/ql4igcwllw
TXT0029,"ganjar pranowo itu bukan cuma pemimpin yang mikirin kepentingan diri sendiri, tapi juga kepentingan rakyat dan kebebasan berpendapat di masyarakat. #ganjarpranowopilihanumat  #jnk #ganjarmahfudrebound https://t.co/2phfh7cep4"
TXT0030,harus nya @prabowo seperti ini duduk bersila diacara @aksikamisan untuk menjawab dan mengklarifikasi atau mengclearkan tuduhan atau isu penculikan dan pelanggaran ham yang dialamatkan kediaagar tidak ada lagi asumsi isu pelanggaran ham dan penculikan hanya muncul saat pilpres [re catatan_ali7]
TXT0031,'@partburunggalak weelehãƒâ€šã‚â² isue 5 tahunan yg trus dimunculkan cyber hti dkk.era orba militer adlah alat  yg  dikedepankn demi stabilitas politik dri pemerintah yg otoriter. adalah sngt tdk logis jika krusuhan yg bgitu masif hanya prabowo yg brtanggung jawab makanya tdk pernah ada pengadilannya.
TXT0032,padahal tnp usung  anies di dki @gerindra jadi partai gurem .emang ada curut2 geri dra yg layak jadi gubernur ? [re resty_j_cayah]
TXT0033,byangin aja orang lebih marah anies gagal mencapai target dp 0% dibanding jokowi gagal menepati janji tidak impor dan memperkuat kpk. belum bahas janji yang lain ya.gw hingga saat ini masih ga pernah dapet jwbn dari haters anies kenapa mereka tidak se kritia itu thdp janji owi
TXT0034,"'@muhadklyacho @soundofyogi yang bubarin fpi kan pemerintah pusat. bukan anies.gak kebayang kayak apa jakarta dengan anies sebagai gubernur kalau fpi belum dibubarkan.dukung sih silakan aja, tapi jangan denial kalau anies mendapatkan keuntungan dari ormas diskriminatif. anies bukan manusia sempurna. [re redhatjkt]"
TXT0035,"ibaratkan cak imin belimbing matang di pohon, anies sindir gibran? https://t.co/qbgqkuxtww [re oposisicerdas]"
TXT0036,"prabowo menilai, korupsi merusak kehidupan bangsa, membahayakan keselamatan negara. salah satu yang ia tawarkan adalah menaikkan gaji para pejabat. https://t.co/s2a6yghxik [re nu_online]"
TXT0037,pilihlah yang jauh dari radikalisme dan dekat dengan solusi. pilih ganjar pranowo! #jnk #ganjarpranowopilihanumat #ganjarmahfudrebound #jnkganjar2024 https://t.co/bbs7r8juwt
TXT0038,yg sepakat untuk 2024 asal bukan prabowo silahkan retweet kita kabar kan seluruh nusantara bahwa indonesia tdk butuh capres penculikãƒâ¢ã‚âã‚å’ pelangar ham beratãƒâ¢ã‚âã‚å’cawapres perusakãƒâ¢ã‚âã‚å’ demokrasi dan konstitusiãƒâ¢ã‚âã‚å’ cukup #asalbukanprabowo https://t.co/7d1lmyveud [re eddy_widodo_165]
TXT0039,"'@kompastv mantap, korupsi akan dibabat sama pak anies"
TXT0040,"etika dan kepemimpinan itu di mulai dari lingkungan keluarga, wowo menyindir pak anies dan pak anies tetap senyum dan tidak baper, ..giliran balik di sindir oleh pak anies, kata pendukung wowo debat malah nyerang personal, memang lucu lihat kelakuan pendukung wowo ãƒâ°ã‚å¸ã‚â¤ã‚â­ãƒâ°ã‚å¸ã‚â¤ã‚â­ https://t.co/ib6enf3qan [re yurissa_samosir]"
TXT0041,"ini gambaran kalo kita kritik pemerintah nanti, kritik pak prabowo sebagai menhan aja disebut kritik personal di replyannya ãƒâ°ã‚å¸ã‚â¤ã‚â£ [re hwztmf]"
TXT0042,ãƒâ¢ã‚â€ºã‚âµ  ãƒâ€šã‚â ãƒâ€šã‚â  goganjargo: ganjar optimis capai pertumbuhan ekonomi 7% sahabatganjarãƒâ€šã‚â  ãƒâ€šã‚â  ganjar menangkanganjar generasigotongroyongãƒâ€šã‚â  ganjar mahfud hebat #l3bihbaik #mahfudlebihbaik3 #ganjarmahfud2024 perempuan maju
TXT0043,"ganjar pranowo, yang sebelumnya pernah menjabat sebagai anggota dpr dan diusung oleh pdi perjuangan, menunjukkan komitmen dan semangat tinggi dalam melayani masyarakat. meskipun telah memiliki pengalaman legislatif, ia terus berupaya untuk langsung berinteraksi dengan masyarakat.  meskipun menghadapi tantangan berat, ganjar tetap gigih dan berkomitmen untuk memberikan kontribusi positif.#pdiperjuangan#ganjaruntuksemua#ganjarpresiden#menangkanganjar#ganjarmahfud#ganjarmahfud2024#ganjarsatset#mahfudtastes [re pdi_perjuangan]"
TXT0044,"kawasan ekonomi khusus bakal jadi peluang besar buat investasi, dukung ganjar-mahfud! @lohgaloh happy new year #ganjarmahfud2024#3mandatganjarmahfud#l3bihbaik https://t.co/4ppxjk4dxq"
TXT0045,keterbukaan dalam kebijakan pemerintahan adalah hak warga. #indonesiasentris #02melanjutkan #anakmudaindonesiaemas prabowo - gibran mempromosikan transparansi ini. #indonesiasentris #02melanjutkan #anakmudaindonesiaemas #menangseputaran https://t.co/q5oktzmcwc
TXT0046,"program pasangan capres cawapres ganjar pranowo dan mahfud md, solusi jitu buat dorong pertumbuhan ekonomi desa. #jnk #ganjarpranowopilihanumat https://t.co/ezwkvxhwm1"
TXT0047,"inisiatif ganjar-mahfud memberikan harapan baru untuk pertumbuhan ekonomi yang berkeadilan, memberdayakan umkm sebagai tulang punggung ekonomi kerakyatan. @blibibb happy new year #ganjarmahfud2024#ganjarmahfudm3nang#l3bihbaik https://t.co/8b5xpvshzm"
TXT0048,ini adalah saat yang tepat untuk berinvestasi dalam masa depan indonesia bersama ganjar-mahfud. @thoriq_gh happy new year #ganjarmahfud2024#3mandatganjarmahfud#l3bihbaik https://t.co/ep2rxi09pn
TXT0049,"ãƒâ°ã‚å¸ã‚âªã‚â  ganjar mahfud hebat #coblos3 #3gm #ganjarmahfud2024 betul pak, bersihkan indonesia dari korupsi. dengan pak ganjar dan mahfud semoga indonesia lebih maju lagi ganjar mahfud hebat #3gm #coblos3 https://t.co/ttnype6vdc"
TXT0050,ãƒâ°ã‚å¸ã‚âã‚â¡  masyarakat jakarta berharap pak ganjar pranowo dan mahfud md terus bersatu untuk membawa kemajuan dan kesejahteraan ganjar mahfud hebat #l3bihbaik #mahfudlebihbaik3 #ganjarmahfud2024 sikat kkn
TXT0051,ainunnajib lebih tegang  kali... lg nembak pemerintah jokowi mulu... ganjar malah kg mode cari aman mahfud hebat #mahfudlebihbaik3 #ganjarmahfud2024 #3mandatganjarmahfud #l3bihbaik happy new year https://t.co/dzwvneoiod
TXT0052,partisipasi aktif warga negara adalah tonggak demokrasi yang sehat. #indonesiasentris #02melanjutkan #anakmudaindonesiaemas prabowo - gibran mendorong keterlibatan semua. #indonesiasentris #02melanjutkan #anakmudaindonesiaemas #menangseputaran https://t.co/wszsnoo9xp
TXT0053,"pak  @soeyoto1 setahu saya @restty_cayah tidak pernah menyatakan dukungan kpd aniez ataupun ganjar, tapi dia pernah mengatakan drpd negeri ini diserahkan kpd mantan penjahat ham &amp; demokrasi, anies &amp; ganjar adalah opsi terbaik yg bisa dipilih rakyat.mohon koreksi jika salah.ãƒâ°ã‚å¸ã‚â„¢ã‚â [re abu_waras]"
TXT0054,"algoritma instagram dorong popularitas kampanye anies, konten reels tembus jutaan dalam sehari https://t.co/b2qddrgbbq [re oposisicerdas]"
TXT0055,pasangan duet capres cawapres ganjar pranowo  dan prof mahfud md lagi fokus bikin regulasi hukum yang gak bikin investor mikir dua kali untuk masuk indonesia!jn18a #jnk #ganjarmahfudrebound #ganjarpranowopilihanumat https://t.co/xnx2yfyzls
TXT0056,ganjar yakin bahwa dengan beasiswa kita dapat menciptakan generasi penerus yg unggul @wahhabicc_jabar #debatcapres#ganjarmahfud2024#ganjarmahfudm3nangdebat#coblos74 https://t.co/r4pdb8dbht
TXT0057,'@kangdede78 lagi ngomongin jokowi ya di bantu jadi gubernur jkt lewat prabowo ya?
TXT0058,"dalam acara konsolidasi 45 hari menuju kemenangan ganjar-mahfud (30/12/2023), selaku cawapres 03 yakni mahfud md berkomitmen akn hadirkn 21 program unggulan demi terwujudnya kesejahteraan rakyat indonesia. dan menariknya, program yg dibw ganjar-mahfud lebih membawa kemaslahatan. https://t.co/bevenswi02 [re bungkustukang]"
TXT0059,"kalo kata pak prabowo : ""tidak perlu menjatuhkan agar terlihat lebih unggul""#pemiludamai  #kitamudaloginpakbowo #palingjelas 02 paling pas ãƒâ€šã‚â  #indonesiakuatindonesiamaju #diplomasiprogresifprabowo #02melanjutkan https://t.co/fgniuf2ccy"
TXT0060,"'@j_zamhari @naywul1 @awkarin menjawab : 1. bukan tidak terbukti, tidak diadili dan tidak diungkap. terbukti sudah ada putusan dkp(dewan kehormatan perwira) berisi pemecatan prabowo subianto dan dinyatakan bersalah atas pelanggaran ham. setelah dipecat dan mau diadili beliau kabur ke jordania."
TXT0061,"'@diyonmandiri aku nangis bangettt di bagian ini.janji yang udah direalisasikan oleh anies, malah dihalang-halangi oleh pj gubernur. enggak tau tujuannya apa, tapi yang menderita ya rakyat kecil. [re dayatpiliang]"
TXT0062,"umur alutsista itu nggak sama dengan modernisasi yang bisa dilakukan. prabowo miss his shot. ada alasan kenapa f-15 dan f-16 bisa beroperasi 50 tahun, hingga masa depan.kenapa mereka bisa beroperasi selama itu, ya karena emang ada support-nya, dan ada program overhaul, kalau kita namanya mlu (mid-life upgrade). disitu dimana overhaul airframe itu ada, entah untuk sekedar nambal, atau ganti, dengan mesin yang selalu bisa di-swap, bukan masalah besar.terakhir, prabowo juga gagal menyebubkan gimana transisi dari alutsista rusia menuju barat bisa memberikan kemudahan dan bahkan kesejahteraan kepada tni. [re kentlavis]"
TXT0063,"pilpres 2024, pembuktian prabowo dan jokowi https://t.co/pguki558f0perhelatan pilpres 2024 menjadi sebuah pertaruhan dan pembuktian bagi prabowo dan jokowi. bagi prabowo, pilpres 2024 ini adalah kesempatan terbesarnya untuk menjadi presiden ri. menggandeng gibran rakabuming, prabowo pun mendapat dukungan penuh dari jokowi. ya, inilah kesempatan terbesar dan mungkin kesempatan terakhir prabowo bisa memenangkan pilpres. lawan terbesar prabowo bukanlah anies baswedan maupun ganjar pranowo, melainkan garis tangan. prabowo berharap dengan menggandeng gibran dan didukung jokowi, dia bisa menuliskan garis tangan barunya. selain prabowo, pilpres ini juga menjadi pembuktian jokowi. ada yang sangat begitu meyakini jokowi akan menjadi kekuatan politik baru pasca berakhirnya masa berpolitik sesepuh politisi seperti megawati, jusuf kalla, surya paloh, dan bahkan prabowo. tentu kita tidak bisa melihat secara terang-terangan jokowi mendukung prabowo, namun yang pasti jokowi tidaklah mungkin tidak mendukung anaknya, gibran yang adalah cawapres prabowo.jokowi yang selama ini dinilai adalah sosok yang lebih besar dari pada pdi perjuangan dan megawati soekarnoputri, akan menjadikan pilpres 2024 milestone politiknya. sebuah titik untuk jokowi benar-benar akan menjadi kekuatan baru di kancah perpolitikan atau malah gagal dan menjadi gelandangan politik seperti amien rais.usaha besar-besaran akan dilakukan untuk mencapai satu-satunya kesempatan menang pilpres dengan kemenangan satu putaran. karena kalau gagal satu putaran, maka kemungkinan menang akan mengecil dan memberikan peluang lebih besar bagi lawan. apalagi kalau lawannya adalah ganjar mahfud.dalam beberapa waktu ke depan kita akan melihat situasi-situasi yang tidak wajar, yang tidak kredibel dan profesional dari penyelenggara pemilu, dan bahkan ajaibnya bisa saja terjadi hal luar biasa di mahkamah konstitusi.tapi sekuat apapun usaha yang dilakukan oleh prabowo dan jokowi, saya percaya kalau garis tangan masih belum berpihak kepada prabowo, maka kemenangan tidak akan pernah diraih.saya cuma berharap nantinya saat keputusan tidak memberikan kemenangan kepada prabowo gibran, tidak terjadi kerusuhan. semoga kali ini prabowo bisa legowo dan belajar dari pilpres 2019. [re paltiwest]"
TXT0064,ada hal yang janggal dari post ini:1. post nya berbau counter opini yg skrg lagi rame di papua2. ini akun pemerintah ya sattt kok bisa bisanya dipake buat nyebokin capres3. prabowo nya mana anjirrrr [re setyoaji831]
TXT0065,"hajatan demokrasi indonesia bulan depan, karena demokrasi itu penting, bro! ayo, kita pastikan kepentingan demokrasi dengan memilih ganjar pranowo. #ganjarmahfudrebound #ganjarpranowopilihanumat #jnk https://t.co/lgaxpfclt5"
TXT0066,insentif pajak dari ganjar-mahfud akan memicu lahirnya lebih banyak startup berkualitas. @usersky__ happy new year #ganjarmahfud2024#3mandatganjarmahfud#l3bihbaik https://t.co/sz3kgeoiqr
TXT0067,"seseorang yang lupa usia berkata : ""kalo korupsinya kecilãƒâ€šã‚â²an, gak apaãƒâ€šã‚â²""maka dibiarkanlah pungutan liar di sekolah, upeti polisi di jalan, pelicin di kantor pemerintah dan segala macam pungutan yang memotong hak orangãƒâ€šã‚â² kecil yang prabowo tak pernah merasakannya.. https://t.co/t8wttobbt7 [re yradianto]"
TXT0068,"perubahan frontal dr segala penjuru nusantara untuk anies amin 1. siap melampiaskan pd sebagian besar petinggi negara dgn pembiarannya pelanggaran pemilu bahkan melawan &amp; melengserkan rezim perampas rempang, wadashttps://t.co/ll3iascvez"
TXT0069,"menyoal etika itu bukan serangan personal. dalam jabatan publik, itu bagian dari integritas.ketika situ serang luas tanah yang dikuasai prabowo (2019), itu juga bukan personal. tapi bagian dari isu konflik kepentingan antara jabatan dan akses bisnis.makanya jangan nepotis. https://t.co/14dyv9drcw [re dandhy_laksono]"
TXT0070,"rt capres nomor urut 3, ganjar pranowo ingin membentuk lembaga coast guard atau penjaga pantai/laut jika kelak memenangi pemilihan presiden (pilpres) 2024. menurut ganjar, pembentukan coast guard ini untuk membereskan terjadinya tumpang tindih antar lembaga negara dalam menangani kelautan. #pdiperjuangan #ganjaruntuksemua #ganjarpresiden #menangkanganjar #nomor3pilihanku #ganjarmahfud2024 #ganjarsatset #mahfudtastes [re pdi_perjuangan]"
TXT0071,"pemberantasan korupsi bukan sekadar tuntutan, tetapi komitmen. #indonesiasentris #02melanjutkan #anakmudaindonesiaemas prabowo - gibran bertindak dalam hal ini. #indonesiasentris #02melanjutkan #anakmudaindonesiaemas #menangseputaran https://t.co/hsm6dylq24"
TXT0072,"'@herisapto86131 @bebek_nkri_2 @alextham878 @maruahalsiahaa2 lah tapi tetep aja itu koalisinya pdip.. ãƒâ°ã‚å¸ã‚â¤ã‚â£ faktanya ppp belum pecah koalisi tuh.. mungkin sengaja bikin statement pindah dukungan supaya bisa bunuh jongos pdip yg disalahin prabowo.. pantes tolol, rupanya kau orang jogja.. urus dulu tuh klitih.. ãƒâ°ã‚å¸ã‚â¤ã‚â£ memang tempatnya kampungan.."
TXT0073,"dulu prabowo ke mahasiswa 98 gitu juga gak yaãƒâ¢ã‚â‚¬ã‚å“kita butuh demokrasiãƒâ¢ã‚â‚¬ã‚âãƒâ¢ã‚â‚¬ã‚å“sini dek ketemu dulu, saya buka datanyaãƒâ¢ã‚â‚¬ã‚âlalu hilang ãƒâ°ã‚å¸ã‚â€”ã‚â¿ãƒâ°ã‚å¸ã‚â€”ã‚â¿ãƒâ°ã‚å¸ã‚â€”ã‚â¿ [re msmujab22]"
TXT0074,"rt al fatihah buat alm. lambang babar purnomo, alumnus arkeologi ugm yang diduga dibunuh saat jadi saksi kasus pencurian dan pemalsuan arca museum radya pustaka yang melibatkan hashim djojohadikusumo, adik prabowo. [re ibnarief]"
TXT0075,"emang keren, dalam debat ketika ayahbowo adalahkita serang, dia memilih jadi neagarawan dan tak menyerang balik teman diskusinya.#munculfenomenapakbowodukungantulus untuk02@prabowo @prabowogibran02 https://t.co/lcypldjgje [re info_beragam]"
TXT0076,"inspiratif. pasangan capres cawapres ganjar pranowo mahfud md buka peluang bisnis lokal dengan kredit 35% untuk koprasi dan umkm. sukses terus, pengusaha kecil. nct wish #jnk #ganjarmahfudrebound #ganjarpranowopilihanumat https://t.co/gyl2d6ah4i"
TXT0077,"katanya, pak anies dipecat dari posisi mendikbud karena korupsi? bener nggak sih? ãƒâ°ã‚å¸ã‚â¤ã‚â€nah daripada bingung dan berasumsi liar, mending simak dulu faktanyaãƒâ°ã‚å¸ã‚â€˜ã‚â€¡ãƒâ°ã‚å¸ã‚âã‚â» https://t.co/xvdvxdbvv4 [re ubahbareng]"
TXT0078,ganjar-mahfud adalah pilihan yang tepat untuk mewujudkan kesejahteraan sektor pertanian dan perikanan. @aesyhqlh happy new year #ganjarmahfud2024#3mandatganjarmahfud#l3bihbaik https://t.co/qqnv3o5bhe
TXT0079,"ditanya soal etika, prabowo bilang anies tak pantas bicara etik karena beri contoh yang tidak baik https://t.co/05oza9q5q2 [re kompastv]"
TXT0080,'@generasi_mudanu promosi ganjar terhadap akuntabilitas menciptakan pemerintahan yang transparan dan akurat.
TXT0081,kemampuan diplomasi prabowo terlihat saat melakukan kerjasama dengan amerika serikat dalam menyuplai 24 jet tempur f-15ex dan 24 helikopter tempur sikorsksy s-70 black hawk. #prabowogibranistimewa #bersamaindonesiamaju #prabowogemoy prabowo subianto
TXT0082,garda samud3ra sebagai garda terdepan mencerminkan kesungguhan ganjar pranowo dalam menjaga keamanan dan stabilitas wilayah maritim. @gm2/puggiph0kcyoyieyq8lpbsdktxvd/qzuuvy/kee= #ganjarmahfud2024 #dulujokowisekarangganjar #coblos3 https://t.co/xiuydwjbjj
TXT0083,"kala anies curhat pernah dimarahi pemerintah pusat karena terapkan psbb saat covid-19: saya dipanggil, didatangi https://t.co/hqx586mm0c [re tvonenews]"
TXT0084,kenapa sih mulutmanies enggak mau terima bahwa prabowo jeli belanja alutsista? @sutjiptorudy dukungantulus untuk02 penasaran kebebasan ptn top 10 menhan nyebokin nangisin goblok pt tmi https://t.co/v9takkzjhj https://t.co/9n9uf33in4
TXT0085,bu sri mulyani jadi sasaran kegagalan prabowo dalam mengelola anggaran pertahanan. untung kita punya menteri keuangan sekeren smi. dia tahu mana yang harus digunting karena gak beres. mana yang harus diteruskan karena penting buat masa depan indonesia. #ganjarmahfud2024 [re ekokuntadhi1]
TXT0086,'@ganjarpranowo @mohmahfudmd bersama pak ganjar dan pak mahfud insya allah mampu memutuskan rantai kemiskinan di indonesia lewat program2 unggulan merekaãƒâ°ã‚å¸ã‚â„¢ã‚å’ãƒâ°ã‚å¸ã‚âã‚â»ãƒâ°ã‚å¸ã‚â¤ã‚å¸ãƒâ°ã‚å¸ã‚âã‚â»
TXT0087,"keinginan prabowo gibran adalah indonesia harus berdiri di kaki sendiri, manfaatkan kekayaan bangsa untuk kesejahteraan rakyat, bisa produksi barang2 kebutuhan sendiri.sudah pada login? https://t.co/v1pn6kizft [re negativisme]"
TXT0088,"'@_sirusaa prwakilan tokoh hindu tamil mengajukan pembangunan tmpat ibadah dri era pk jokowi,pk ahok, dan di era pk anies akhirnya mrek pya tmpat ibadah,,di mnit 11.30 an bpk perwakilan hindu tamilbilang akhirnya mreka merasakan pancasila bhineka tunggal ika itu adahttps://t.co/fumpbzvu9l [re sasukura0210]"
TXT0089,"'@uyokback debat politik itu adu argumen, adu data, klarifikasi depan publik. contoh data seperti ini yang diminta jelaskan? prabowo (lupa) tidak bisa jawab, alasannya waktu sempit? ãƒâ°ã‚å¸ã‚â¤ã‚â€œmahfud jelaskan, anggaran bukan rahasia negara. #debatcapres https://t.co/vqi02ppfae [re zaeffendy]"
